WBS Code,WBS,Cost Element Lev 3,Planned Cost (P0),Planned Cost (P1),Actual Cost
CC2134-A-CCZK01-IT,PROGETTAZIONE DI IMPIANTO,Hardware design,,,8909 €
CC2134-A-CCZK01-IT,PROGETTAZIONE DI IMPIANTO,Other activities,,,164 €
CC2134-A-CCZK01-IT,PROGETTAZIONE DI IMPIANTO,Software design,,,269 €
CC2134-A-CCZK01-IT,PROGETTAZIONE DI IMPIANTO,Technical documentation,14960 €,14960 €,1273 €
CC2134-A-GIZZ01-IT,SISTEMA DI BIBERONAGGIO A INDUZIONE,Hardware design,80 €,80 €,233 €
CC2134-A-GIZZ01-IT,SISTEMA DI BIBERONAGGIO A INDUZIONE,Technical documentation,,,276 €
CC2134-A-GIZZ01-IT,SISTEMA DI BIBERONAGGIO A INDUZIONE,TP Materials,31029 €,31029 €,25560 €
CC2134-A-GLRZ01-IT,** ANNULLATA (M.M.S.) -- VEDI GVLZ01,Hardware design,,180 €,
CC2134-A-GLRZ01-IT,** ANNULLATA (M.M.S.) -- VEDI GVLZ01,Manufacturing,,553 €,
CC2134-A-GLRZ01-IT,** ANNULLATA (M.M.S.) -- VEDI GVLZ01,Software design,,166 €,
CC2134-A-GLRZ01-IT,** ANNULLATA (M.M.S.) -- VEDI GVLZ01,Software testing,,146 €,
CC2134-A-GVLZ01-IT,LGV MANAGER-HW FISICO/VIRTUALE CLIENTE,Hardware design,484 €,412 €,123 €
CC2134-A-GVLZ01-IT,LGV MANAGER-HW FISICO/VIRTUALE CLIENTE,Manufacturing,1463 €,975 €,
CC2134-A-GVLZ01-IT,LGV MANAGER-HW FISICO/VIRTUALE CLIENTE,Software design,20104 €,19976 €,2049 €
CC2134-A-GVLZ01-IT,LGV MANAGER-HW FISICO/VIRTUALE CLIENTE,Software testing,8325 €,8325 €,6494 €
CC2134-A-GVLZ01-IT,LGV MANAGER-HW FISICO/VIRTUALE CLIENTE,TP Materials,42528 €,42528 €,29583 €
CC2134-A-GVLZ01-PL,LGV MANAGER - [SERVER CLIENTE],Expenses,,,2864 €
CC2134-A-GVLZ01-PL,LGV MANAGER - [SERVER CLIENTE],Other activities,,,389 €
CC2134-A-GVLZ01-PL,LGV MANAGER - [SERVER CLIENTE],Software design,,,6945 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Expenses,,,5 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Hardware design,16308 €,16308 €,11799 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Logistic costs,,,111 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Manufacturing,45565 €,45565 €,32064 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Other activities,,,1098 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Software design,3040 €,3552 €,2128 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Software testing,11456 €,11456 €,16519 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,Technical documentation,,,552 €
CC2134-A-LRTZ01-IT,LGV A FORCHE - REACH 14 TRIPLEX,TP Materials,931156 €,931156 €,889092 €
CC2134-A-PCLK01-IT,DESIGN: LABELER PAL. RB,Expenses,,,137 €
CC2134-A-PCLK01-IT,DESIGN: LABELER PAL. RB,Hardware design,4416 €,828 €,2888 €
CC2134-A-PCLK01-IT,DESIGN: LABELER PAL. RB,Software design,6257 €,3389 €,14012 €
CC2134-A-PCLK01-IT,DESIGN: LABELER PAL. RB,Technical documentation,,,552 €
CC2134-A-PCLZ01-IT,ETICHETTATRICE PAL. RB,Expenses,,,1288 €
CC2134-A-PCLZ01-IT,ETICHETTATRICE PAL. RB,Manufacturing,11668 €,5038 €,8298 €
CC2134-A-PCLZ01-IT,ETICHETTATRICE PAL. RB,Other activities,,,400 €
CC2134-A-PCLZ01-IT,ETICHETTATRICE PAL. RB,Other costs,9101 €,,
CC2134-A-PCLZ01-IT,ETICHETTATRICE PAL. RB,Software testing,2948 €,880 €,14555 €
CC2134-A-PCLZ01-IT,ETICHETTATRICE PAL. RB,TP Materials,162495 €,162495 €,157169 €
CC2134-A-PCRZ01-IT,ETICHET. PAL RB RAPTOR/TRAPTOR,Hardware design,,,80 €
CC2134-A-PCZK01-IT,DESIGN: PALLET CONVEYOR,Hardware design,4452 €,7980 €,32896 €
CC2134-A-PCZK01-IT,DESIGN: PALLET CONVEYOR,Other activities,,,0 €
CC2134-A-PCZK01-IT,DESIGN: PALLET CONVEYOR,Software design,2830 €,5736 €,15600 €
CC2134-A-PCZK01-IT,DESIGN: PALLET CONVEYOR,Technical documentation,,,561 €
CC2134-A-PCZZ01-IT,TRASPORTI PALLET - RULLIERA + NASTRI,Expenses,,,1098 €
CC2134-A-PCZZ01-IT,TRASPORTI PALLET - RULLIERA + NASTRI,Logistic costs,,,25 €
CC2134-A-PCZZ01-IT,TRASPORTI PALLET - RULLIERA + NASTRI,Manufacturing,8255 €,8255 €,17751 €
